	Dance Name	Room Type	Time	ADDR	INS
0	2.1  INFINITY DANCE STUDIO	舞蹈類型： Jazz Funk﹑Urban Dance﹑Contemporary Dance﹑Girls’ HipHop﹑HipHop、Poping﹑Locking﹑Vogue	開放時間：星期一至五 4PM-10 PM、星期六1030AM-8PM、星期日10AM-6PM	地點：尖沙咀山林道4號恆貿商業中心4樓	https://www.instagram.com/infinitydance_ids/?hl=en
1	2.2 Bedrex Dance 	舞蹈類型：Jazz Funk﹑Girls’ HipHop﹑HipHop﹑Contemporary Jazz﹑Chereography﹑Raga Dancehall﹑Waacking﹑Poping﹑Locking	開放時間：星期一五 5PM-1030PM、星期六至星期天1PM-8PM	地點：尖沙咀漆咸道南67–71號102，1/F	https://www.instagram.com/bedrex_official/?hl=en
2	2.3 Neverland Dance house	舞蹈類型：Jazz Funk﹑Urban Dance﹑Girls’ HipHop﹑HipHop，Kpop﹑House﹑Lyrical	開放時間：星期一、三、五 11AM-10PM || 星期二 430PM-10PM || 星期六至星期天10AM-7PM	地點：觀塘開源道77號， 業發工業一期12樓A室	
